Ἔδοξέ   sonhou	1
τις   Um sujeito	1
ἐν   em	1
Νεμέᾳ   Nemeia	2
ἀγωνίζεσθαι   disputar	1
ἀνδρῶν   de homens adultos	1
πάλην   a luta	1
νικᾶν   vencer	1
καὶ   e	1
στεφανοῦσθαι   ser coroado	1
ἔτυχε   Aconteceu	1
αὐτῷ   a ele	1
δίκη   um processo judicial	1
οὖσα   de ter	1
περὶ   a respeito	1
ἀγροῦ   de uma terra no campo	1
ἐνᾧ   na qual	1
παμμέγεθες   um imenso	1
ἦν   havia	1
ἕλος   pântano	1
καὶ   E	1
δὴ   de fato	1
ἐνίκησε   venceu	1
τῷ λόγῳ   em razão	1
τοῦ   do	1
ἕλους   pântano	1
διὰ τὸ   pelo fato de	1
σελίνῳ   com salsão	1
τῷ   o	1
ἐν   de	1
τοὺς   os	1
νικῶντας   vencedores	1
στεφανοῦσθαι   serem coroados	1
