θεὸς   deus	1
ἕτερον   outro	1
τὸ   o	1
ἠρνεῖτο   recusou	1
εὐχῇ   pedido	1
μιᾷ   com um	1
ἀρκούμενος   ficou satisfeito	1
καὶ   efetivamente	1
γὰρ   Pois	1
ἰσχυρῶς   gravemente	1
ὠφθαλμίασε   sofreu de oftal­mia	1
δὲ   por outro	1
ἄνοσος   sem enfermidades	1
ἔμεινεν   permanecia	1
μὲν   por um lado	1
οὖν   Então	1
μοι   a mim	1
ἀρκεῖ   basta	1
ἀλεκτρυὼν   galo	1
undefined   um	1
αὐτῷ   lhe	1
Ἀσκληπιὸν   Asclépio	1
λέγειν   dizia que	1
ἔδοξε   sonhou	1
νύκτα   noite	1
εἰς   à	1
καὶ δὴ   De fato	1
θύσειν   sacrificaria	2
ἀλεκτρυόνα   galo	1
ἕτερον   um outro	1
ὀφθαλμιάσειεν   sofresse de oftalmia	1
μὴ   não	1
εἰ   se	2
Ἀσκληπιῷ   Asclépio	2
τῷ   a	2
πάλιν   novamente	1
ἡμέραν   um dia	1
διαλιπὼν   tendo deixado passar	1
ἔπειτα   Em seguida	1
ἀλεκτρυόνα   um galo	1
αὐτῷ   para ele	1
ἄνοσος   sem enfermidade	1
ἔτους   ano	1
τοῦ   o	1
ἔλθοι διὰ   atravessasse	1
Ηὔξατό   pediu em oração	1
τις   Um sujeito	1
