Ἔδοξέ   sonhou	1
τις   Um sujeito	1
ἐν τῇ   no	1
τύλῃ   colchão	1
πυροὺς   grãos de trigo	1
ἔχειν   ter	1
ἀντὶ   em vez de	1
γναφάλλων   algodão	1
ἦν αὐτῷ   Arrumou	1
γυνή   uma mulher	1
ἥτις   que	1
μηδεπώποτε   nunca	1
συλλαβοῦσα   havendo concebido	1
πρότερον   antes	1
ἐκείνου   daquele	1
ἔτους   ano	1
ἔγκυος γενομένη   depois de ficar grávida	1
παιδάριον   uma criança	1
ἐγέννησεν   gerou	1
ἄρρεν   do sexo masculino	1
ἡ   o	1
μὲν   De um lado	1
τύλη   colchão	1
τὴν   a	1
γυναῖκα   mulher	1
ἐσήμαινεν   significava	1
οἱ   os	1
δὲ   de outro	1
πυροὶ   grãos de trigo	1
ἄρρεν   masculina	1
σπέρμα   semente	1
